,Product,Unit Price,Category
98,BRONDI MAGNUM 4,"59,99€",Smartphone & Cellulari
99,APPLE IPHONE 13 128GB MEZZANOTTE,"581,90€",Smartphone & Cellulari
100,OPPO A54S,"199,99€",Smartphone & Cellulari
101,PANASONIC KX-TU155EXBN,"47,90€",Smartphone & Cellulari
102,PANASONIC KX-TU155EXRN,"69,90€",Smartphone & Cellulari
103,PANASONIC KX-TU155EXCN,"54,90€",Smartphone & Cellulari
104,SAIET STS502NERO,"89,99€",Smartphone & Cellulari
105,"BRONDI AMICO CHIC CELL.SENIOR 2.4"" DUALSIM BT 1.3MP SOS NERO","59,90€",Smartphone & Cellulari
106,BRONDI AMICO SMARTPHONE XL,"137,90€",Smartphone & Cellulari
107,BRONDI STONE+,"49,90€",Smartphone & Cellulari
108,BRONDI STONE+,"49,90€",Smartphone & Cellulari
109,BRONDI STONE+,"49,90€",Smartphone & Cellulari
110,BRONDI STONE+,"49,90€",Smartphone & Cellulari
111,BRONDI WINDOW+,"45,90€",Smartphone & Cellulari
112,OPPO FIND X5 LITE,"359,90€",Smartphone & Cellulari
113,XIAOMI REDMI NOTE 11 PRO+ 5G 8+256GB STAR BLUE,"299,90€",Smartphone & Cellulari
114,TREVI 0FLX6506,"59,90€",Smartphone & Cellulari
115,BRONDI CONTENDER,"53,90€",Smartphone & Cellulari
116,BRONDI AMICO FAVOLOSO,"79,90€",Smartphone & Cellulari
117,"TCL 3189  CELL. QB 2.4"" DUALSIM 64MB 128MB BT RUGGED 4G GREY","79,90€",Smartphone & Cellulari
118,"TCL 3189 CELL. QB 2.4"" DUALSIM 64MB 128MB BT RUGGED 4G YEL","79,90€",Smartphone & Cellulari
119,NOKIA 2660 BLACK,"79,90€",Smartphone & Cellulari
120,NOKIA 2660 BLUE,"79,90€",Smartphone & Cellulari
121,NOKIA 5710 XA BLACK,"89,90€",Smartphone & Cellulari
122,"XIAOMI 12 LITE  6.55""FHD+ 8GB 128GB 5G 108+8+2MP  BLACK","409,00€",Smartphone & Cellulari
123,BRONDI AMICO PREZIOSO TELEFONO SENIOR CON GRANDI TASTI E TASTO SOS. DUAL SIM,"83,90€",Smartphone & Cellulari
124,BRONDI AMICO PREZIOSO TELEFONO SENIOR CON GRANDI TASTI E TASTO SOS. DUAL SIM,"86,90€",Smartphone & Cellulari
125,"PANASONIC CELLULARE FACILE DA USARE, RESISTENTE AGLI URTI,4G,TASTO DI EMERGENZA,AMPIO DISPLAY","89,90€",Smartphone & Cellulari
126,APPLE IPHONE 14 128GB MEZZANOTTE,"735,90€",Smartphone & Cellulari
127,APPLE IPHONE 14 128GB BLU,"764,90€",Smartphone & Cellulari
128,GIGASET CELLULARE SENIOR GL590 WHITE,"69,99€",Smartphone & Cellulari
129,"BRONDI AMICO COMFORT CELL. FLIP QB 2.8"" DUALSIM GSM BT SOS NERO OPACO","89,90€",Smartphone & Cellulari
130,BRONDI .,"59,90€",Smartphone & Cellulari
131,BEGHELLI SALVALAVITA SENIOR PHONE SLV11,"39,90€",Smartphone & Cellulari
132,BEGHELLI TELEFONO SEMPLICE DA USARE CON GRANDI TASTI NUMERICI RETROILLUMINATI E UN DISPLAY BEN VISIBILE. CON TASTO SOS,"48,90€",Smartphone & Cellulari
133,BEGHELLI CELLULARE GSM CON TASTO DI CHIAMATA RAPIDA DI SOCCORSO.,"47,90€",Smartphone & Cellulari
134,"TCL 40SE 6.75""HD+ 4GB 128GB 50+2+2MP TWILIGHT PURPLE","205,90€",Smartphone & Cellulari
135,"TCL 4021 CELL. DB 1.8"" DUALSIM HANDY 2G DARK NIGHT GREY","24,90€",Smartphone & Cellulari
136,XIAOMI REDMI NOTE 12 PRO 5G POLAR WHITE 6GB RAM 128GB ROM,"399,90€",Smartphone & Cellulari
137,ONEPLUS ORDCE3LITE5GPASTELLIME,"199,90€",Smartphone & Cellulari
138,"BRONDI AMICO SMARTPHONE POCKET 4"" SENIOR DUAL SIM 4G COVER INCLUSA","54,90€",Smartphone & Cellulari
139,BRONDI AMICO STILOSO CELLULARE SENIOR GSM  DUAL SIM  CON COVER,"58,90€",Smartphone & Cellulari
140,"PANASONIC CELLULARE FACILITATO CON CONNESSIONE 4G,USB C,AMPLIO DISPLAY,RESISTENTE AGLI URTI,TASTO D’EMERGENZA SOS","102,90€",Smartphone & Cellulari
141,"PANASONIC CELLULARE FACILITATO CON CONNESSIONE 4G,USB C,AMPLIO DISPLAY,RESISTENTE AGLI URTI,TASTO D’EMERGENZA SOS","89,90€",Smartphone & Cellulari
